                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5044,                  4.003,                 4.0917,                0.34189,                0.11358,                0.01042,                 0.0024,                 3.1591,                 3.6907,                 3.8128,              0.0033184,              0.0033184,              0.0033184
                      2,                 2.5323,                 3.1677,                 3.0656,                0.06449,                0.13209,                0.03965,                0.01496,                 2.2851,                    inf,                 2.8194,              0.0066188,              0.0066188,              0.0066188
                      3,                  1.894,                 2.5573,                 2.2648,                0.13351,                0.15324,                0.08015,                0.03349,                 2.1444,                  3.635,                 2.6292,              0.0098862,              0.0098862,              0.0098862
                      4,                 1.7219,                 2.2952,                 2.0056,                0.21954,                0.19819,                0.15333,                0.07314,                 1.9562,                 2.6632,                 2.2762,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6372,                 2.1098,                 1.8947,                0.27159,                0.23143,                0.20851,                0.11539,                 1.7587,                 2.2983,                 1.9833,               0.009802,               0.009802,               0.009802
                      6,                 1.5728,                  1.985,                 1.8136,                 0.2983,                0.27473,                0.23768,                0.13828,                 1.6289,                 1.9811,                 1.8748,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.541,                 1.9104,                  1.772,                0.33747,                0.28753,                0.26349,                0.15939,                 1.5756,                 1.8768,                 1.8249,               0.009703,               0.009703,               0.009703
                      8,                 1.5187,                 1.8503,                 1.7524,                0.36237,                0.27527,                0.26812,                0.16104,                 1.5906,                 1.8382,                 1.8195,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4897,                 1.7887,                 1.7224,                0.38314,                0.26702,                0.26112,                0.15757,                 1.5966,                 1.9491,                 1.8073,               0.009604,               0.009604,               0.009604
                     10,                 1.4915,                  1.773,                 1.7087,                0.34404,                0.30388,                0.26039,                0.16278,                 1.5216,                 2.0416,                 1.7612,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4634,                  1.707,                 1.6872,                0.37966,                0.30573,                0.30253,                0.18435,                 1.5187,                 1.7629,                 1.7471,               0.009505,               0.009505,               0.009505
                     12,                 1.4491,                 1.6821,                 1.6737,                0.38198,                0.31412,                 0.2957,                0.18578,                  1.485,                 1.7483,                 1.7295,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4455,                 1.6638,                 1.6618,                0.40362,                0.30988,                0.33597,                0.21203,                 1.4424,                 1.6197,                 1.6786,               0.009406,               0.009406,               0.009406
                     14,                 1.4331,                 1.6273,                 1.6572,                0.43689,                0.33738,                0.35942,                0.22756,                 1.4504,                  1.582,                 1.6636,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4189,                 1.6105,                 1.6467,                0.42938,                0.35668,                0.35684,                0.22557,                 1.4069,                  1.538,                 1.6287,               0.009307,               0.009307,               0.009307
                     16,                 1.4085,                 1.5715,                  1.627,                0.43112,                0.34993,                0.36007,                0.22802,                 1.4153,                 1.5397,                 1.6202,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4024,                 1.5688,                 1.6195,                0.42083,                0.34625,                 0.3562,                0.23013,                 1.4033,                 1.5249,                 1.6211,               0.009208,               0.009208,               0.009208
                     18,                 1.3827,                 1.5584,                 1.6152,                0.43619,                 0.3604,                0.36089,                0.23076,                 1.4105,                 1.5265,                 1.6311,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3964,                 1.5337,                 1.6054,                0.43753,                0.37438,                0.38357,                0.24701,                 1.4145,                 1.4499,                 1.6176,               0.009109,               0.009109,               0.009109
                     20,                 1.3804,                 1.5132,                 1.6019,                0.45463,                0.35449,                0.37825,                0.24596,                  1.383,                 1.4758,                 1.6007,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3773,                  1.488,                 1.5857,                0.46592,                0.36139,                0.39124,                0.24754,                 1.3942,                 1.4481,                 1.6036,                0.00901,                0.00901,                0.00901
                     22,                 1.3599,                 1.4889,                 1.5865,                0.47337,                 0.3728,                0.39596,                0.25481,                 1.3703,                 1.4345,                 1.5856,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3674,                 1.4699,                 1.5826,                0.47725,                0.37026,                0.41128,                0.26964,                 1.3884,                 1.3865,                 1.6014,               0.008911,               0.008911,               0.008911
                     24,                  1.344,                 1.4671,                  1.579,                 0.5037,                0.37234,                 0.4137,                0.26994,                 1.3584,                 1.3807,                 1.5742,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3606,                   1.45,                 1.5745,                0.48997,                0.37877,                0.41848,                0.27031,                 1.3588,                 1.3711,                 1.5699,               0.008812,               0.008812,               0.008812
                     26,                 1.3434,                 1.4374,                 1.5686,                0.47621,                0.39502,                0.42474,                0.27533,                 1.3583,                 1.3753,                 1.5771,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3591,                 1.4165,                 1.5663,                0.50218,                 0.3988,                0.43609,                0.28542,                  1.346,                 1.3305,                 1.5543,               0.008713,               0.008713,               0.008713
                     28,                 1.3614,                 1.4134,                 1.5635,                0.50371,                0.39113,                0.42126,                0.27676,                 1.3432,                  1.329,                 1.5551,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3307,                 1.3976,                 1.5498,                0.49919,                0.39907,                 0.4296,                0.28132,                   1.34,                 1.3205,                 1.5567,               0.008614,               0.008614,               0.008614
                     30,                 1.3178,                 1.3916,                 1.5455,                0.50344,                0.39138,                0.43332,                0.28499,                 1.3256,                  1.315,                 1.5445,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3364,                 1.3858,                 1.5505,                0.50632,                0.39478,                0.44161,                0.29251,                 1.3229,                 1.2814,                 1.5332,               0.008515,               0.008515,               0.008515
                     32,                 1.3446,                 1.3722,                 1.5473,                0.52048,                0.39713,                0.44845,                0.29717,                 1.3197,                  1.292,                 1.5269,              0.0084655,              0.0084655,              0.0084655
                     33,                   1.33,                 1.3656,                  1.543,                0.53169,                0.39774,                0.45026,                0.29601,                  1.318,                 1.2706,                  1.527,               0.008416,               0.008416,               0.008416
                     34,                 1.3144,                 1.3514,                 1.5343,                0.53816,                0.40197,                0.45878,                 0.3052,                 1.3101,                 1.2532,                 1.5133,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3164,                 1.3482,                 1.5294,                0.52505,                0.41209,                0.46362,                0.30723,                  1.308,                 1.2372,                 1.5108,               0.008317,               0.008317,               0.008317
                     36,                 1.3213,                 1.3486,                 1.5302,                0.53866,                0.40966,                0.46617,                0.30892,                 1.3161,                 1.2444,                 1.5159,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3173,                 1.3222,                 1.5254,                0.53234,                0.41457,                0.46638,                0.30933,                 1.3098,                 1.2258,                 1.5129,               0.008218,               0.008218,               0.008218
                     38,                 1.3032,                 1.3193,                 1.5188,                 0.5216,                 0.4186,                0.46295,                0.30791,                 1.3043,                 1.2333,                 1.5094,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3042,                 1.3091,                 1.5133,                0.50857,                0.43443,                0.47446,                 0.3167,                 1.2988,                  1.218,                 1.5026,               0.008119,               0.008119,               0.008119
                     40,                 1.3006,                 1.3086,                 1.5161,                0.51116,                 0.4333,                0.47295,                0.31769,                 1.2891,                 1.2188,                 1.5021,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3034,                 1.2975,                 1.5064,                0.52105,                0.42831,                0.47271,                 0.3152,                 1.2913,                 1.2136,                 1.4943,                0.00802,                0.00802,                0.00802
                     42,                 1.2972,                 1.2914,                 1.5101,                 0.5369,                0.42043,                0.47894,                0.32037,                 1.2847,                 1.1994,                 1.4903,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2923,                  1.282,                 1.5048,                0.53661,                0.43027,                0.48089,                0.32017,                 1.2872,                 1.1944,                 1.4914,               0.007921,               0.007921,               0.007921
                     44,                 1.2974,                  1.284,                 1.5069,                0.53945,                0.43199,                0.48364,                0.32284,                 1.2847,                 1.1914,                  1.486,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2901,                 1.2639,                 1.4953,                0.54753,                0.43413,                0.48361,                 0.3246,                 1.2837,                 1.1922,                 1.4802,               0.007822,               0.007822,               0.007822
                     46,                 1.2957,                 1.2763,                    1.5,                0.53145,                0.43518,                0.48002,                0.32537,                 1.2715,                 1.1854,                 1.4747,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2861,                 1.2641,                 1.4924,                0.54452,                0.42904,                0.48557,                0.32872,                 1.2751,                 1.1807,                 1.4766,               0.007723,               0.007723,               0.007723
                     48,                 1.2848,                 1.2563,                 1.4915,                0.53884,                 0.4343,                0.48427,                0.32722,                 1.2714,                 1.1791,                 1.4755,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2809,                 1.2496,                 1.4905,                0.53939,                0.43676,                0.48383,                0.32661,                 1.2666,                 1.1738,                  1.469,               0.007624,               0.007624,               0.007624
                     50,                 1.2787,                 1.2522,                  1.487,                0.55715,                0.42881,                0.48727,                0.33085,                 1.2635,                 1.1669,                 1.4666,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2808,                 1.2451,                 1.4858,                0.53652,                0.44008,                0.48813,                0.33019,                 1.2633,                 1.1688,                 1.4646,               0.007525,               0.007525,               0.007525
                     52,                 1.2753,                 1.2317,                 1.4803,                0.55709,                0.43133,                0.49153,                0.33262,                 1.2649,                 1.1576,                 1.4668,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2683,                  1.224,                 1.4807,                0.53952,                 0.4451,                0.49385,                0.33382,                 1.2655,                 1.1562,                 1.4651,               0.007426,               0.007426,               0.007426
                     54,                  1.286,                 1.2163,                 1.4849,                0.55852,                 0.4431,                 0.4976,                0.33622,                 1.2651,                 1.1532,                 1.4634,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2683,                 1.2126,                 1.4745,                0.55669,                0.43999,                0.49634,                0.33543,                 1.2631,                 1.1567,                 1.4601,               0.007327,               0.007327,               0.007327
                     56,                 1.2763,                  1.211,                 1.4748,                0.54385,                0.45057,                0.49844,                0.33718,                 1.2627,                 1.1473,                 1.4582,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2638,                 1.2188,                 1.4724,                0.55331,                0.44304,                0.49982,                0.33899,                 1.2647,                 1.1432,                 1.4575,               0.007228,               0.007228,               0.007228
                     58,                  1.267,                 1.2018,                 1.4701,                0.55737,                0.44382,                0.49962,                0.33794,                 1.2649,                 1.1414,                 1.4566,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2602,                 1.1862,                 1.4663,                0.56355,                0.44325,                0.50129,                0.34073,                 1.2584,                 1.1353,                 1.4531,               0.007129,               0.007129,               0.007129
                     60,                 1.2614,                 1.1948,                 1.4697,                0.56257,                 0.4523,                0.50298,                0.34203,                 1.2572,                 1.1325,                 1.4513,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2648,                  1.187,                 1.4669,                0.55967,                0.45288,                0.50277,                0.34221,                 1.2569,                 1.1286,                 1.4511,                0.00703,                0.00703,                0.00703
                     62,                 1.2637,                 1.1797,                 1.4595,                0.55283,                0.45513,                 0.5043,                0.34308,                 1.2564,                  1.127,                  1.449,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2487,                 1.1771,                 1.4591,                0.56011,                0.45409,                0.50492,                0.34441,                 1.2567,                 1.1242,                 1.4503,               0.006931,               0.006931,               0.006931
                     64,                 1.2489,                 1.1789,                 1.4585,                0.54846,                0.46014,                0.50435,                0.34427,                 1.2561,                 1.1229,                 1.4485,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2647,                 1.1722,                 1.4594,                0.55324,                0.46066,                0.50561,                0.34444,                 1.2554,                 1.1216,                  1.448,               0.006832,               0.006832,               0.006832
                     66,                 1.2515,                 1.1704,                 1.4596,                0.54764,                0.46409,                 0.5063,                0.34453,                 1.2529,                 1.1203,                 1.4469,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.269,                 1.1739,                 1.4615,                0.55421,                0.46868,                0.50754,                0.34627,                 1.2514,                 1.1196,                 1.4451,               0.006733,               0.006733,               0.006733
                     68,                 1.2502,                 1.1602,                 1.4512,                0.55898,                0.46498,                0.50806,                0.34706,                 1.2511,                 1.1187,                  1.444,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2583,                 1.1632,                 1.4584,                0.55613,                0.46944,                0.50777,                0.34757,                 1.2501,                 1.1173,                 1.4426,               0.006634,               0.006634,               0.006634
                     70,                 1.2398,                 1.1521,                 1.4507,                0.56493,                0.46331,                0.50975,                0.34866,                 1.2492,                 1.1155,                 1.4416,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2472,                 1.1507,                 1.4514,                0.56996,                0.46005,                0.51044,                0.34925,                  1.249,                 1.1143,                 1.4406,               0.006535,               0.006535,               0.006535
                     72,                 1.2548,                 1.1518,                 1.4506,                0.56781,                0.46293,                 0.5115,                0.34977,                 1.2486,                 1.1122,                 1.4398,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.252,                 1.1507,                 1.4494,                0.56335,                 0.4688,                0.51274,                0.35055,                 1.2463,                 1.1098,                 1.4374,               0.006436,               0.006436,               0.006436
                     74,                 1.2462,                 1.1539,                 1.4476,                0.57374,                0.46545,                0.51278,                0.35101,                  1.245,                 1.1081,                 1.4358,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2552,                 1.1342,                 1.4443,                0.57788,                0.46496,                0.51393,                0.35162,                 1.2453,                 1.1067,                 1.4352,               0.006337,               0.006337,               0.006337
                     76,                 1.2356,                 1.1264,                 1.4387,                0.57928,                0.46768,                0.51479,                0.35223,                 1.2449,                 1.1042,                 1.4342,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2311,                 1.1325,                 1.4424,                0.57997,                0.46607,                0.51564,                0.35332,                 1.2439,                 1.1028,                 1.4333,               0.006238,               0.006238,               0.006238
                     78,                 1.2363,                 1.1283,                 1.4337,                0.58265,                0.46544,                  0.516,                0.35324,                 1.2435,                 1.1021,                 1.4324,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2386,                 1.1248,                 1.4336,                 0.5851,                0.46705,                0.51668,                0.35393,                 1.2428,                 1.1012,                 1.4315,               0.006139,               0.006139,               0.006139
                     80,                 1.2325,                 1.1249,                 1.4333,                 0.5826,                0.46791,                0.51754,                0.35429,                 1.2425,                 1.1002,                 1.4305,              0.0060895,              0.0060895,              0.0060895
                     81,                   1.24,                 1.1198,                 1.4344,                0.58248,                 0.4688,                0.51803,                0.35436,                 1.2427,                 1.0991,                 1.4302,                0.00604,                0.00604,                0.00604
